No.,Service,Keyword,Count
1,accounts-daemon,emergency,0
2,accounts-daemon,alert,0
3,accounts-daemon,critical,0
4,accounts-daemon,error,0
5,accounts-daemon,fail,0
6,accounts-daemon,fatal,0
7,accounts-daemon,warn,0
8,apt-helper,emergency,0
9,apt-helper,alert,0
10,apt-helper,critical,0
11,apt-helper,error,52
12,apt-helper,fail,0
13,apt-helper,fatal,0
14,apt-helper,warn,0
15,at-spi-bus-launcher,emergency,0
16,at-spi-bus-launcher,alert,0
17,at-spi-bus-launcher,critical,0
18,at-spi-bus-launcher,error,0
19,at-spi-bus-launcher,fail,0
20,at-spi-bus-launcher,fatal,0
21,at-spi-bus-launcher,warn,0
22,colord,emergency,0
23,colord,alert,0
24,colord,critical,0
25,colord,error,0
26,colord,fail,2
27,colord,fatal,0
28,colord,warn,0
29,cron,emergency,0
30,cron,alert,0
31,cron,critical,0
32,cron,error,0
33,cron,fail,0
34,cron,fatal,0
35,cron,warn,0
36,CRON,emergency,0
37,CRON,alert,0
38,CRON,critical,0
39,CRON,error,0
40,CRON,fail,0
41,CRON,fatal,0
42,CRON,warn,0
43,dbus-daemon,emergency,0
44,dbus-daemon,alert,0
45,dbus-daemon,critical,0
46,dbus-daemon,error,0
47,dbus-daemon,fail,132
48,dbus-daemon,fatal,0
49,dbus-daemon,warn,0
50,gnome-keyring-d,emergency,0
51,gnome-keyring-d,alert,0
52,gnome-keyring-d,critical,0
53,gnome-keyring-d,error,0
54,gnome-keyring-d,fail,0
55,gnome-keyring-d,fatal,0
56,gnome-keyring-d,warn,0
57,gnome-keyring-daemon,emergency,0
58,gnome-keyring-daemon,alert,0
59,gnome-keyring-daemon,critical,0
60,gnome-keyring-daemon,error,0
61,gnome-keyring-daemon,fail,0
62,gnome-keyring-daemon,fatal,0
63,gnome-keyring-daemon,warn,0
64,gpg-agent,emergency,0
65,gpg-agent,alert,0
66,gpg-agent,critical,0
67,gpg-agent,error,0
68,gpg-agent,fail,0
69,gpg-agent,fatal,0
70,gpg-agent,warn,0
71,gvfsd-network,emergency,0
72,gvfsd-network,alert,0
73,gvfsd-network,critical,0
74,gvfsd-network,error,2
75,gvfsd-network,fail,2
76,gvfsd-network,fatal,0
77,gvfsd-network,warn,0
78,gvfsd-trash,emergency,0
79,gvfsd-trash,alert,0
80,gvfsd-trash,critical,0
81,gvfsd-trash,error,0
82,gvfsd-trash,fail,0
83,gvfsd-trash,fatal,0
84,gvfsd-trash,warn,0
85,gvfsd-wsdd,emergency,0
86,gvfsd-wsdd,alert,0
87,gvfsd-wsdd,critical,0
88,gvfsd-wsdd,error,0
89,gvfsd-wsdd,fail,1
90,gvfsd-wsdd,fatal,0
91,gvfsd-wsdd,warn,0
92,haveged,emergency,0
93,haveged,alert,0
94,haveged,critical,0
95,haveged,error,0
96,haveged,fail,0
97,haveged,fatal,0
98,haveged,warn,0
99,kernel,emergency,0
100,kernel,alert,0
101,kernel,critical,0
102,kernel,error,0
103,kernel,fail,144
104,kernel,fatal,0
105,kernel,warn,2
106,lightdm,emergency,0
107,lightdm,alert,0
108,lightdm,critical,0
109,lightdm,error,1
110,lightdm,fail,2
111,lightdm,fatal,0
112,lightdm,warn,0
113,ModemManager,emergency,0
114,ModemManager,alert,0
115,ModemManager,critical,0
116,ModemManager,error,0
117,ModemManager,fail,0
118,ModemManager,fatal,0
119,ModemManager,warn,0
120,mpris-proxy,emergency,0
121,mpris-proxy,alert,0
122,mpris-proxy,critical,0
123,mpris-proxy,error,0
124,mpris-proxy,fail,0
125,mpris-proxy,fatal,0
126,mpris-proxy,warn,0
127,mtp-probe,emergency,0
128,mtp-probe,alert,0
129,mtp-probe,critical,0
130,mtp-probe,error,0
131,mtp-probe,fail,0
132,mtp-probe,fatal,0
133,mtp-probe,warn,0
134,NetworkManager,emergency,0
135,NetworkManager,alert,0
136,NetworkManager,critical,0
137,NetworkManager,error,0
138,NetworkManager,fail,0
139,NetworkManager,fatal,0
140,NetworkManager,warn,0
141,obexd,emergency,0
142,obexd,alert,0
143,obexd,critical,0
144,obexd,error,4
145,obexd,fail,0
146,obexd,fatal,0
147,obexd,warn,0
148,pipewire,emergency,0
149,pipewire,alert,0
150,pipewire,critical,0
151,pipewire,error,0
152,pipewire,fail,0
153,pipewire,fatal,0
154,pipewire,warn,0
155,polkitd,emergency,0
156,polkitd,alert,0
157,polkitd,critical,0
158,polkitd,error,4
159,polkitd,fail,0
160,polkitd,fatal,0
161,polkitd,warn,0
162,rtkit-daemon,emergency,0
163,rtkit-daemon,alert,0
164,rtkit-daemon,critical,0
165,rtkit-daemon,error,0
166,rtkit-daemon,fail,0
167,rtkit-daemon,fatal,0
168,rtkit-daemon,warn,0
169,sm-notify,emergency,0
170,sm-notify,alert,0
171,sm-notify,critical,0
172,sm-notify,error,0
173,sm-notify,fail,0
174,sm-notify,fatal,0
175,sm-notify,warn,0
176,speech-dispatcher,emergency,0
177,speech-dispatcher,alert,0
178,speech-dispatcher,critical,0
179,speech-dispatcher,error,0
180,speech-dispatcher,fail,0
181,speech-dispatcher,fatal,0
182,speech-dispatcher,warn,0
183,ssh-agent,emergency,0
184,ssh-agent,alert,0
185,ssh-agent,critical,0
186,ssh-agent,error,0
187,ssh-agent,fail,0
188,ssh-agent,fatal,0
189,ssh-agent,warn,0
190,sudo,emergency,0
191,sudo,alert,0
192,sudo,critical,0
193,sudo,error,2
194,sudo,fail,3
195,sudo,fatal,0
196,sudo,warn,0
197,systemd,emergency,0
198,systemd,alert,0
199,systemd,critical,0
200,systemd,error,0
201,systemd,fail,0
202,systemd,fatal,0
203,systemd,warn,0
204,systemd-fsck,emergency,0
205,systemd-fsck,alert,0
206,systemd-fsck,critical,0
207,systemd-fsck,error,0
208,systemd-fsck,fail,0
209,systemd-fsck,fatal,0
210,systemd-fsck,warn,0
211,systemd-journald,emergency,0
212,systemd-journald,alert,0
213,systemd-journald,critical,0
214,systemd-journald,error,0
215,systemd-journald,fail,0
216,systemd-journald,fatal,0
217,systemd-journald,warn,0
218,systemd-logind,emergency,0
219,systemd-logind,alert,0
220,systemd-logind,critical,0
221,systemd-logind,error,0
222,systemd-logind,fail,0
223,systemd-logind,fatal,0
224,systemd-logind,warn,0
225,systemd-modules-load,emergency,0
226,systemd-modules-load,alert,0
227,systemd-modules-load,critical,0
228,systemd-modules-load,error,0
229,systemd-modules-load,fail,0
230,systemd-modules-load,fatal,0
231,systemd-modules-load,warn,0
232,systemd-networkd,emergency,0
233,systemd-networkd,alert,0
234,systemd-networkd,critical,0
235,systemd-networkd,error,0
236,systemd-networkd,fail,0
237,systemd-networkd,fatal,0
238,systemd-networkd,warn,0
239,systemd-networkd-wait-online,emergency,0
240,systemd-networkd-wait-online,alert,0
241,systemd-networkd-wait-online,critical,0
242,systemd-networkd-wait-online,error,0
243,systemd-networkd-wait-online,fail,0
244,systemd-networkd-wait-online,fatal,0
245,systemd-networkd-wait-online,warn,0
246,systemd-random-seed,emergency,0
247,systemd-random-seed,alert,0
248,systemd-random-seed,critical,0
249,systemd-random-seed,error,0
250,systemd-random-seed,fail,0
251,systemd-random-seed,fatal,0
252,systemd-random-seed,warn,0
253,systemd-shutdown,emergency,0
254,systemd-shutdown,alert,0
255,systemd-shutdown,critical,0
256,systemd-shutdown,error,0
257,systemd-shutdown,fail,0
258,systemd-shutdown,fatal,0
259,systemd-shutdown,warn,0
260,systemd-sslh-generator,emergency,0
261,systemd-sslh-generator,alert,0
262,systemd-sslh-generator,critical,0
263,systemd-sslh-generator,error,0
264,systemd-sslh-generator,fail,0
265,systemd-sslh-generator,fatal,0
266,systemd-sslh-generator,warn,0
267,systemd-sysv-generator,emergency,0
268,systemd-sysv-generator,alert,0
269,systemd-sysv-generator,critical,0
270,systemd-sysv-generator,error,0
271,systemd-sysv-generator,fail,0
272,systemd-sysv-generator,fatal,0
273,systemd-sysv-generator,warn,0
274,systemd-timesyncd,emergency,0
275,systemd-timesyncd,alert,0
276,systemd-timesyncd,critical,0
277,systemd-timesyncd,error,0
278,systemd-timesyncd,fail,0
279,systemd-timesyncd,fatal,0
280,systemd-timesyncd,warn,0
281,systemd-tmpfiles,emergency,0
282,systemd-tmpfiles,alert,0
283,systemd-tmpfiles,critical,0
284,systemd-tmpfiles,error,0
285,systemd-tmpfiles,fail,0
286,systemd-tmpfiles,fatal,0
287,systemd-tmpfiles,warn,0
288,systemd-udevd,emergency,0
289,systemd-udevd,alert,0
290,systemd-udevd,critical,0
291,systemd-udevd,error,0
292,systemd-udevd,fail,0
293,systemd-udevd,fatal,0
294,systemd-udevd,warn,0
295,udisksd,emergency,0
296,udisksd,alert,0
297,udisksd,critical,0
298,udisksd,error,0
299,udisksd,fail,0
300,udisksd,fatal,0
301,udisksd,warn,0
302,unix_chkpwd,emergency,0
303,unix_chkpwd,alert,0
304,unix_chkpwd,critical,0
305,unix_chkpwd,error,0
306,unix_chkpwd,fail,5
307,unix_chkpwd,fatal,0
308,unix_chkpwd,warn,0
309,wireplumber,emergency,0
310,wireplumber,alert,0
311,wireplumber,critical,0
312,wireplumber,error,4
313,wireplumber,fail,4
314,wireplumber,fatal,0
315,wireplumber,warn,0
316,xfce4-screensaver-dialog,emergency,0
317,xfce4-screensaver-dialog,alert,0
318,xfce4-screensaver-dialog,critical,0
319,xfce4-screensaver-dialog,error,4
320,xfce4-screensaver-dialog,fail,103
321,xfce4-screensaver-dialog,fatal,0
322,xfce4-screensaver-dialog,warn,0
